What is sound fundamentally defined as in physics?,A pressure wave created by a vibrating object.
What is the primary function of an audio compressor?,To manage the dynamics of a sound by reducing the difference between its loudest and quietest parts.
"In an audio compressor, what does the 'threshold' control set?",The specific volume level at which the compressor becomes active and starts to reduce the signal.
"In a compressor, a 'soft knee' setting allows for a _____ transition into compression.",smoother and more gradual
What does the 'attack time' on a compressor determine?,How long it takes for the signal to become fully compressed after exceeding the threshold.
What does a compressor 'ratio' of 4:1 mean?,"For every 4 dB the signal exceeds the threshold, it will be attenuated down to only 1 dB above the threshold."
"A compressor with a very high ratio (e.g., 20:1 or ∞:1) is known as a _____.",limiter
What does the 'side chain' input on a compressor allow you to do?,"Control the compression of one signal using the dynamics of a separate, external signal."
Which microphone polar pattern is sensitive to sound from all directions (360 degrees)?,Omnidirectional.
"Which microphone polar pattern captures sound from the front and back, but is acoustically dead at the sides?",Figure-of-8 (Bidirectional).
"Which microphone polar pattern, the most common unidirectional type, primarily picks up sound from the front and rejects sound from the rear?",Cardioid.
The phenomenon where the bass response of a directional microphone increases as it is moved closer to the sound source is called the _____.,proximity effect
Highly directional shotgun microphones typically use a _____ or supercardioid polar pattern.,hypercardioid
What is the function of a low-pass filter in audio equalization?,It allows low frequencies to pass through while reducing (attenuating) high frequencies.
What is the function of a high-pass filter in audio equalization?,It allows high frequencies to pass through while reducing (attenuating) low frequencies.
A _____ filter is a very narrow band-stop filter used to surgically remove a specific problematic frequency like electrical hum.,notch
"In the REAPER DAW, what is the keyboard shortcut to split a selected media item at the edit cursor?",S.
What is the recommended common plugin chain order for processing voice-over audio?,"Noise Gate, De-esser, Compressor, then EQ."
"In filmmaking, what is the smallest unit of action that describes a single thought?",A beat.
"What is the term for the central subject of a story, through whose eyes the audience experiences the narrative?",The protagonist.
What is the term for the event that propels the protagonist into an active pursuit of their 'object of desire'?,The inciting incident.
What is the term for the point of maximum emotional intensity or conflict in a story?,The climax.
